Region_Area_State,Year,Wind_speed,Rainfall_actual,Rainfall_normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,MSW,Atmosheric_Microplastics,Beach_Plastics,Summer,Spring,Winter,Covid_19,Plastic_Production
Delhi,2019,20.3,258.6,444,19768000,172000,0.01,0.00,3950395,118095.490,,31.38,25.28,19.23,,230525
Goa,2019,24.5,4385.8,2875.3,1108000,435000,0.04,1.01,49640,2083.681,298.6875,31.78,27.39,23.05,,26068
Gujarat,2019,23.2,2033.1,1430.10,32010000,36235000,1.58,7.01,3368220,49573.730,4536,33.95,27.41,20.93,,408201
Haryana,2019,20.3,258.6,444,11503000,17304000,1.91,0.00,1940340,215832.760,,31.36,25.06,18.81,,147734
Himachal Pradesh,2019,16.5,684.2,763.5,748000,6567000,0.14,0.00,118990,9878.243,,14.76,9.95,5.17,,13683
Jammu and Kashmir,2019,9.1,445.8,567.5,3918000,9319000,0.21,0.00,346385,17875.367,,,,,,74826.33
Jharkhand,2019,20.5,865.6,1054.7,9599000,27982000,2.23,0.00,721970,55751.050,,30.87,24.96,19.09,,43332
Karnataka,2019,27.6,5248,4274.00,28140000,37833000,2.29,4.03,2247670,40529.390,1044.9,32.1,26.67,21.28,,296380
Kerala,2019,19.2,2310.2,2049.3,23675000,11511000,2.05,4.75,876000,27157.020,2128.28,31.13,27.05,23.02,,131400
Lakshadweep,2019,32.6,1231.7,1013.1,64000,4000,0.00,0.20,12966,91.828,,31.32,28.26,25.27,,46
Madhya Pradesh,2019,22.4,2692.7,1906.10,23618000,58995000,2.00,0.00,2155690,22330.250,,32.53,25.94,19.4,,121079
Maharashtra,2019,24.2,7198,5238.4,58240000,64293000,1.18,4.43,8374925,165469.690,2436.07,33.63,27.2,20.83,,443724
Manipur,2019,14.2,1114.8,1426.7,979000,2132000,0.32,0.00,2920,4201.123,,24.52,19.85,15.24,,8293
Meghalaya,2019,11.7,1567.9,1773.70,663000,2569000,0.14,0.00,365,7304.440,,26.01,21.82,17.68,,5043
Mizoram,2019,7.7,1114.8,1426.7,648000,547000,0.07,0.00,71540,1613.739,,26.08,21.54,17.07,,7909
Nagaland,2019,8.3,1114.8,1426.7,874000,1281000,0.09,0.00,43435,2910.132,,24.19,19.41,14.7,,565
Odisha,2019,28.8,1232.5,1155.3,8197000,36922000,6.60,1.58,694960,134299.550,1779.97,31.54,26.16,20.82,,45339.4
Puducherry,2019,30,401.9,342.00,1056000,459000,0.07,0.44,100375,2045.870,113.4,33.07,29.08,25.15,,11753
Punjab,2019,19,444.3,467.3,12125000,17814000,1.51,0.00,1479710,74426.900,,30.77,24.45,18.19,,92890
Rajasthan,2019,23.3,1234.5,868.20,20248000,57353000,1.16,0.00,2460465,59534.620,,33.17,26.1,19.08,,51966
Sikkim,2019,13.8,1884.1,1970.8,276000,389000,0.00,0.00,25550,898.022,,10.63,4.79,-1.03,,69
Tamil Nadu,2019,27.7,401.9,342.00,39465000,36348000,1.74,5.83,4549360,39521.220,3385.8,32.72,28.18,23.69,,431472
Telangana,2019,28.1,805,759.6,16748000,20535000,3.00,0.00,3695990,48492.380,,,,,,233655
Tripura,2019,18.9,1114.8,1426.7,1407000,2595000,0.78,0.00,118990,5404.338,,29.56,24.72,19.93,,32
Uttar Pradesh,2019,22.9,1374.1,1560.70,53100000,172867000,6.99,0.00,5280820,35802.360,,32.17,25.74,19.36,,161148
Uttarakhand,2019,18.7,960.4,1176.9,3822000,7362000,0.05,0.00,566845,15102.976,,18.95,14.05,9.19,,25203
West Bengal,2019,28.3,2825,3152.3,34247000,62862000,16.19,1.63,2874740,70032.470,587.25,30.93,25.73,20.58,,300236
Andaman and Nicobar Islands,2018,36.7,1569.2,1682.5,165000,231000,0.00,0.40,43800,379.829,,30.98,27.32,23.72,,1850
Andhra Pradesh,2018,37.2,833.7,979.4,17531000,34501000,33.91,6.00,2350600,57763.180,12127.8,33.48,28.03,22.63,,66314
Arunachal Pradesh,2018,10.9,1198.4,1768,367000,1126000,0.05,0.00,98900,1432.034,,24,18.76,13.56,,3787.37
Assam,2018,11.4,1322.9,1792.8,5104000,28939000,3.31,0.00,472187,32652.866,,27.92,23.21,18.57,,32277.87
Bihar,2018,22.6,770.8,1027.6,14088000,104245000,6.02,0.00,829280,113500.912,,31.12,25.2,19.32,,68903.328
Chandigarh,2018,18,423.1,466.3,1162000,8000,0.01,0.00,171550,1122.223,,30.29,24.42,18.58,,11715.4
Chhattisgarh,2018,23.7,1101.5,1153.3,7295000,21173000,4.89,0.00,602250,27305.519,,32.11,26.07,20.1,,6000
Dadra and Nagar Haveli and Daman and Diu,2018,23.2,1012.1,1392.2,438000,239000,0.00,0.28,35770,649.355,996.025,,,,,1947.7
Delhi,2018,18,423.1,466.3,19364000,197000,0.01,0.00,3948205,129622.320,,32.14,26.03,19.98,,224810
Goa,2018,23.5,2883.4,2914.7,1084000,450000,0.05,1.15,86290,1471.360,996.025,31.66,27.27,22.93,,32580.52
Gujarat,2018,22.4,1012.1,1392.2,31235000,36084000,1.42,6.99,3911340,27112.030,15126,34.27,27.74,21.26,,356873
