States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
,,Number,kmph,mm,mm,Persons,Persons,Lakh Tonnes,Lakh Tonnes,TPA,TPA,Kg,,TPA
Lakshadweep,2019,0,32.6,1231.7,1013.1,64000,4000,0.00,0.20,0.00,12966,0,0,135.36
Madhya Pradesh,2019,1,22.75,2692.7,1906.10,23618000,58995000,2.00,0.00,0.00,2155690,0,0,22505.40
Maharashtra,2019,1,25.15,7198,5238.4,58240000,64293000,1.18,4.43,536.93,8374925,2436.07,0,87434.22
Manipur,2019,1,14.2,1114.8,1426.7,979000,2132000,0.32,0.00,0.00,2920,0,0,30.48
Meghalaya,2019,0,17.65,1567.9,1773.70,663000,2569000,0.14,0.00,0.00,365,0,0,3.81
Mizoram,2019,1,7.7,1114.8,1426.7,648000,547000,0.07,0.00,0.00,71540,0,0,746.88
Nagaland,2019,1,8.3,1114.8,1426.7,874000,1281000,0.09,0.00,0.00,43435,0,0,453.46
Odisha,2019,1,23.7,1232.5,1155.3,8197000,36922000,6.60,1.58,24.56,694960,1779.97,0,7255.38
Puducherry,2019,0,30.6,401.9,342.00,1056000,459000,0.07,0.44,0.00,100375,113.4,0,1047.92
Punjab,2019,0,17.75,444.3,467.3,12125000,17814000,1.51,0.00,0.00,1479710,0,0,15448.17
Rajasthan,2019,1,23.35,1234.5,868.20,20248000,57353000,1.16,0.00,0.00,2460465,0,0,25687.25
Sikkim,2019,0,13.8,1884.1,1970.8,276000,389000,0.00,0.00,0.00,25550,0,1,266.74
Tamil Nadu,2019,1,26.1,401.9,342.00,39465000,36348000,1.74,5.83,440.31,4549360,3385.8,0,47495.32
Telangana,2019,0,25.6,805,759.6,16748000,20535000,3.00,0.00,0.00,3695990,0,0,38586.14
Tripura,2019,1,13.3,1114.8,1426.7,1407000,2595000,0.78,0.00,0.00,118990,0,0,1242.26
Uttar Pradesh,2019,1,22.8,1374.1,1560.70,53100000,172867000,6.99,0.00,0.00,5280820,0,0,55131.76
Uttarakhand,2019,1,19.8,960.4,1176.9,3822000,7362000,0.05,0.00,0.00,566845,0,1,5917.86
West Bengal,2019,1,30,2825,3152.3,34247000,62862000,16.19,1.63,295.82,2874740,587.25,0,30012.29
Andaman and Nicobar Islands,2018,0,34.4,1569.2,1682.5,165000,231000,0.00,0.40,0.00,43800,0,0,457.27
Andhra Pradesh,2018,1,33.45,833.7,979.4,17531000,34501000,33.91,6.00,29.80,2350600,12127.8,0,24540.26
Arunachal Pradesh,2018,0,9.9,1198.4,1768,367000,1126000,0.05,0.00,0.00,98900,0,0,1032.52
Assam,2018,1,10.15,1322.9,1792.8,5104000,28939000,3.31,0.00,0.00,472187,0,0,4929.63
Bihar,2018,0,22.6,770.8,1027.6,14088000,104245000,6.02,0.00,0.00,829280,0,0,8657.68
Chandigarh,2018,0,18,423.1,466.3,1162000,8000,0.01,0.00,0.00,171550,0,0,1790.98
Chhattisgarh,2018,0,20.85,1101.5,1153.3,7295000,21173000,4.89,0.00,0.00,602250,0,0,6287.49
Dadra and Nagar Haveli and Daman and Diu,2018,0,23.2,1012.1,1392.2,438000,239000,0.00,0.28,0.00,35770,996.025,0,373.44
Delhi,2018,1,18,423.1,466.3,19364000,197000,0.01,0.00,0.00,3948205,0,0,41219.26
Goa,2018,0,23.5,2883.4,2914.7,1084000,450000,0.05,1.15,286.07,86290,996.025,0,900.86
Gujarat,2018,1,25.1,1012.1,1392.2,31235000,36084000,1.42,6.99,247.09,3911340,15126,0,40834.39
Haryana,2018,0,19.8,423.1,466.3,11173000,17228000,1.80,0.00,0.00,1692063,0,0,17665.14
Himachal Pradesh,2018,1,16.6,917.3,825.3,741000,6527000,0.13,0.00,0.00,141985,0,1,1482.32
Jammu and Kashmir,2018,1,13,597.3,534.6,3854000,9281000,0.21,0.00,0.00,558643,0,0,5832.24
Jharkhand,2018,0,17.95,784.3,1091.9,9397000,27650000,2.08,0.00,0.00,804825,0,0,8402.37
Karnataka,2018,1,29.65,4104.9,4249.8,27604000,37846000,1.98,3.90,43.66,4364670,3484.39,0,45567.15
Kerala,2018,1,20.1,2517.3,2039.6,22754000,12249000,1.92,6.09,48.05,1424603,7097.09,0,14872.86
Lakshadweep,2018,0,37.1,553.2,998.5,63000,4000,0.00,0.22,0.00,12775,0,0,133.37
Madhya Pradesh,2018,0,22.25,1756.9,1927.3,23200000,58271000,1.73,0.00,0.00,2920000,0,0,30484.80
Maharashtra,2018,1,26.7,4958.8,5281.5,57364000,64027000,1.00,4.68,495.68,8703261,8123.5,0,90862.05
