Recycling_Plant,Number_of_staffs,Latitude,Longitude,Materials_Accepted,Recycled_Products,Materials_Processed(TPA),Capacity(TPA)
,,,,,,,
Hinglaj Plastic Industries,,22.95607,72.63499,HDPE,Granules/Pellets,,
,,,,,,,
Hitemp Polymers Pvt. Ltd.,,22.28337,73.16077,"PP, PA, PC, ABS, HIPS, PBT",Granules/Pellets,,
,,,,,,,
Imperial Overseas Pvt. Ltd.,,,,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Iqra Plastic,6,28.69004,76.93159,PC,Flakes,,
,,,,,,,
Ishan Plastic,,21.61029,70.4957,PP,Granules/Pellets,,
,,,,,,,
J.K. Engineering Polymers,10,28.69247,77.08809,"PVC, ABS",Granules/Pellets,,
,,,,,,,
J.V. Polymers,10,19.0782,72.906,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Jagriti Polymers,Nov-25,28.79821,77.03685,PVC,Granules/Pellets,,"6,000"
,,,,,,,
Jai International,,,,"PP, LDPE, ABS",Granules/Pellets,,
,,,,,,,
Jai Mata Di Plastics,12,28.51324,77.23693,"PC, ABS",Granules/Pellets,,
,,,,,,,
Jai Shree Balaji Plastic,,28.8484,77.08964,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
Jain Plastics,20,28.66356,77.08902,"ABS, HIPS",Granules/Pellets,,
,,,,,,,
Jairam Plastic Industries,75,22.24262,70.68025,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Jairam Polymers,,22.24262,70.68025,HDPE,Granules/Pellets,,
,,,,,,,
Jay Mata Di Udhyog,,12.30303,76.26267,PET,Flakes,,
,,,,,,,
Jay-Kay Plastic,240,,,"PP, PA, PS, HDPE, LDPE, ABS, HIPS, PMMA",Granules/Pellets,,"3,600"
,,,,,,,
Jayachandran Plastics (P) Ltd,,11.01061,76.95149,"PET, PP, PA, PC, HDPE, LDPE, ABS, HIPS, PMMA, PBT","Granules/Pellets, Flakes",,
,,,,,,,
JB Ecotex LLP,,21.49951,72.97016,PET,Flakes,,
,,,,,,,
Jhunsons Chemicals,Nov-25,28.79821,77.03685,PVC,Granules/Pellets,,
,,,,,,,
Joo Plastics,,10.06403,76.62182,Waste Plastic,Granules/Pellets,,
,,,,,,,
Jwala Plastic,,28.66677,77.05078,"PP, PC, ABS, HIPS","Granules/Pellets, Flakes",,
,,,,,,,
K.V. Plastic Pvt. Ltd.,,26.42111,80.32621,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
Kalpataru Polymer Private Limited (Plastic-ScrapWala),10,19.22654,73.07307,"PET, PP, PVC, HDPE, LLDPE, ABS, HIPS","Granules/Pellets, Flakes",,
,,,,,,,
Kamal Plastics,,28.71873,77.00676,"PP, PA, PC, ABS, PMMA, PBT",Granules/Pellets,,
,,,,,,,
Kamal Polyplast,,28.8484,77.08964,"PP, PA, PC, HDPE, LDPE, LLDPE, ABS, HIPS, PMMA, TPE",Granules/Pellets,,
,,,,,,,
Kavya Polymers,18,28.79821,77.03685,PVC,Granules/Pellets,,
,,,,,,,
Keshav Enterprises,10,28.8484,77.08964,LDPE,Granules/Pellets,,
,,,,,,,
Key Exports,,19.14895,72.9365,"PET, PP, LDPE","Granules/Pellets, Flakes",,
,,,,,,,
Khushii Enterprises,10,19.08759,72.90383,"PP, PA, PC, PVC, HDPE, LDPE, ABS",Granules/Pellets,,
,,,,,,,
King Polymers,,11.062,76.99987,Waste Plastic,Granules/Pellets,,
,,,,,,,
Kiran Plastics,8,29.46941,77.70298,PP,Granules/Pellets,,
,,,,,,,
KK Plastic Waste Management Ltd.,,,,Waste Plastic,"Granules/Pellets, Flakes",,
,,,,,,,
KKalpana Industries (India) Limited,,22.54761,88.3495,"LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Knack Packaging Pvt. Ltd.,750,23.06569,72.53596,PP,Granules/Pellets,,"1,080"
,,,,,,,
Komal Plastics,,13.08277,80.17191,"PP, HDPE, LDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Kyra India,,17.4423,78.35317,Waste Plastic,Granules/Pellets,,
,,,,,,,
Laxmi Plastic,,22.69792,75.92045,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
Luckystar Group,600,18.95565,72.83485,"PP, HDPE, LDPE, LLDPE, HIPS",Granules/Pellets,"30,000",
,,,,,,,
Lucro Plastecycle Private Limited,,19.16167,72.8414,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
M. S. Plast,,23.01516,72.64701,"HDPE, LDPE, LLDPE, ABS",Granules/Pellets,,
,,,,,,,
M.R. Polytech,,28.20518,76.82931,"PP, HDPE, LDPE, LLDPE, ABS",Granules/Pellets,,
,,,,,,,
M/s Kapil International,20-35,28.79161,77.10231,"PET, PP, PVC, HDPE, LDPE, ABS","Granules/Pellets, Flakes",,
,,,,,,,
Macpac Plastics & Packaging LLP.,,,,"PET, PP, PA, PS, PC, PE, PVC, HDPE, LDPE, LLDPE, ABS, HIPS, POM, PMMA, PBT, SAN, TPE","Granules/Pellets, Flakes","3,000","5,000"
,,,,,,,
Madhusudan Durgesh Polymers Pvt Ltd,10,28.71873,77.00676,LLDPE,Granules/Pellets,,"6,000"
,,,,,,,
Magvill Group,,22.93117,88.81397,PET,Flakes,,
,,,,,,,
Mahalaxmi Agroplast Industries,,21.00467,75.55632,PP,Granules/Pellets,,
,,,,,,,
Mahalaxmi Industries,,22.72239,75.807,"PP, HDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Mahan Polymers,,,,"PA, PC, ABS, HIPS, PBT","Granules/Pellets, Flakes",,
,,,,,,,
Mahendra PET Scrap Supplier,,,,PET,Flakes,,
,,,,,,,
Markandey Polymers,,28.8484,77.08964,PP,"Granules/Pellets, Flakes",,
,,,,,,,
MB Plastic Trading Co.,,28.66356,77.08902,"PC, HDPE, ABS, HIPS","Granules/Pellets, Flakes",,
,,,,,,,
Md. Israil and Sons,5,,,ABS,Granules/Pellets,,
,,,,,,,
Meckla Polymers Pvt. Ltd.,,17.49047,78.39993,PET,Flakes,,
,,,,,,,
Mittal Plastic Industries,30,,,PP,Granules/Pellets,,"2,400"
,,,,,,,
Mittal Polygrains LLP,,19.82295,75.13846,"PP, LDPE",Granules/Pellets,,"6,000"
,,,,,,,
MMR Recycling,,,,"PP, PVC, HDPE, LDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Modlon Polymers India Pvt. Ltd.,,28.8484,77.08964,"PP, PA, PC, ABS, PBT",Granules/Pellets,,"2,000"
,,,,,,,
Nagpal Polymers,10,28.79821,77.03685,PA,Granules/Pellets,,"1,200"
,,,,,,,
Nahata Plastics,Nov-25,28.65548,77.14859,"PA, ABS, POM, PBT",Granules/Pellets,,
,,,,,,,
Nahata Plastikos LLP,,28.87097,77.12016,"PP, PA, PC, PVC, ABS, HIPS, PBT",Granules/Pellets,,
,,,,,,,
Neelgiri Poly Plast,20,,,"HDPE, LDPE",Granules/Pellets,,
,,,,,,,
New Kunal Plastic,11,28.79821,77.03685,PP,Granules/Pellets,,
,,,,,,,
Nidhi Enterprises,,28.79821,77.03685,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Oasis International,,,,"PET, PP, HDPE, LDPE","Granules/Pellets, Flakes",,
,,,,,,,
Oscar Polymers,24,19.38473,72.87533,"PP, PS, PC, HDPE, ABS","Granules/Pellets, Flakes",,"1,200"
,,,,,,,
Pallavi Polymers,,19.0782,72.906,"PP, PA, PC, HDPE, LDPE, LLDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Panku Plastic Polymers,,21.16205,72.85454,"PP, PA, PS, PC, PVC, HDPE, LDPE, LLDPE, ABS, HIPS, POM, PMMA, PBT, SAN",Granules/Pellets,,
,,,,,,,
Paras Plastics,10,28.79821,77.03685,"PP, ABS",Granules/Pellets,,
,,,,,,,
Parkash Plastic,26-50,28.79821,77.03685,"PP, PE, PVC, HDPE, LDPE, ABS, HIPS, PBT","Granules/Pellets, Flakes",,"3,000"
,,,,,,,
Parmar Plastic Industries,,20.94708,72.92954,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
Pawan Plastics,20,28.79821,77.03685,HDPE,Granules/Pellets,,"4,800"
,,,,,,,
Peeco Polytech Pvt. Ltd.,,28.8484,77.08964,"PP, HDPE, ABS, SAN",Granules/Pellets,,
,,,,,,,
Pik India,,28.47314,77.03483,Waste Plastic,Granules/Pellets,,
,,,,,,,
Plast-O-Fine Industries,,,,"PVC, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Polyraw Enterprises India Private Limited,,28.20518,76.82931,"HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Popular Plastics,,13.07956,80.26604,Waste Plastic,Granules/Pellets,,
